cwe_id	name	cve_count	avg_score	max_score
530	Exposure of Backup File to an Unauthorized Control Sphere	12	3.57	8.7
118	Incorrect Access of Indexable Resource ('Range Error')	12	7.14	8.6
1260	Improper Handling of Overlap Between Protected Memory Ranges	12	6.97	8.1
138	Improper Neutralization of Special Elements	12	6.49	8.1
159	Improper Handling of Invalid Use of Special Elements	12	5.65	7.5
475	Undefined Behavior for Input to API	12	6.00	7.5
449	The UI Performs the Wrong Action	12	5.21	7.1
549	Missing Password Field Masking	12	5.16	6.7
187	Partial String Comparison	11	7.15	10.0
551	Incorrect Behavior Order: Authorization Before Parsing and Canonicalization	11	7.58	10.0
26	Path Traversal: '/dir/../filename'	11	7.74	9.9
1427	Improper Neutralization of Input Used for LLM Prompting	11	7.01	9.8
230	Improper Handling of Missing Values	11	7.64	9.8
477	Use of Obsolete Function	11	8.30	9.8
547	Use of Hard-coded, Security-relevant Constants	11	7.48	9.8
76	Improper Neutralization of Equivalent Special Elements	11	7.21	9.8
911	Improper Update of Reference Count	11	6.80	9.8
271	Privilege Dropping / Lowering Errors	11	7.10	9.4
1025	Comparison Using Wrong Factors	11	6.45	9.3
177	Improper Handling of URL Encoding (Hex Encoding)	11	6.49	9.1
612	Improper Authorization of Index Containing Sensitive Information	11	6.85	8.8
308	Use of Single-factor Authentication	11	6.52	8.7
650	Trusting HTTP Permission Methods on the Server Side	11	6.02	8.7
1244	Internal Asset Exposed to Unsafe Debug Access Level or State	11	5.95	8.6
232	Improper Handling of Undefined Values	11	6.63	7.7
363	Race Condition Enabling Link Following	10	6.95	10.0
646	Reliance on File Name or Extension of Externally-Supplied File	10	6.58	9.4
656	Reliance on Security Through Obscurity	10	7.99	9.4
406	Insufficient Control of Network Message Volume (Network Amplification)	10	6.99	8.8
642	External Control of Critical State Data	10	6.19	8.8
395	Use of NullPointerException Catch to Detect NULL Pointer Dereference	10	5.24	8.7
647	Use of Non-Canonical URL Paths for Authorization Decisions	10	6.04	8.6
694	Use of Multiple Resources with Duplicate Identifier	10	5.28	8.2
364	Signal Handler Race Condition	10	6.03	8.1
1299	Missing Protection Mechanism for Alternate Hardware Interface	10	6.03	7.9
1258	Exposure of Sensitive System Information Due to Uncleared Debug Information	10	4.98	7.5
14	Compiler Removal of Code to Clear Buffers	10	4.67	6.2
291	Reliance on IP Address for Authentication	9	7.20	10.0
81	Improper Neutralization of Script in an Error Message Web Page	9	6.33	10.0
146	Improper Neutralization of Expression/Command Delimiters	9	7.28	9.9
419	Unprotected Primary Channel	9	6.77	9.8
760	Use of a One-Way Hash with a Predictable Salt	9	6.49	9.8
921	Storage of Sensitive Data in a Mechanism without Access Control	9	6.24	9.8
393	Return of Wrong Status Code	9	7.43	9.3
909	Missing Initialization of Resource	9	5.92	9.3
299	Improper Check for Certificate Revocation	9	7.08	9.1
86	Improper Neutralization of Invalid Characters in Identifiers in Web Pages	9	5.57	9.1
273	Improper Check for Dropped Privileges	9	6.93	8.8
564	SQL Injection: Hibernate	9	6.57	8.8
830	Inclusion of Web Functionality from an Untrusted Source	9	6.80	8.8
762	Mismatched Memory Management Routines	9	5.64	8.1
1326	Missing Immutable Root of Trust in Hardware	9	5.97	7.8
64	Windows Shortcut Following (.LNK)	9	7.14	7.8
1050	Excessive Platform Resource Consumption within a Loop	9	6.48	7.5
1022	Use of Web Link to Untrusted Target with window.opener Access	9	4.70	6.5
141	Improper Neutralization of Parameter/Argument Delimiters	8	7.64	9.8
172	Encoding Error	8	5.79	9.8
391	Unchecked Error Condition	8	6.55	9.8
625	Permissive Regular Expression	8	6.64	9.8
